,Title,Description,Date,Source,Urls
218,Consumer companies craving for the IPO treat,"Cremica Foods is among at least half a dozen companies in the consumer space that have either filed for a stock market listing or are in the process of finalising plans for doing so. They include premium alcohol importer Monika Alcobev, Wai Wai noodle maker CG Foods, B9 Beverages, Wow! Momo and Ganesh Consumer.",15 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/ipos/fpos/consumer-companies-craving-for-the-ipo-treat/articleshow/117762962.cms
219,Sebi cracks down on finfluencers selling tips as education,"Last year, Sebi came out with rules which mandated that any person providing advice directly or indirectly on securities has to first register with it.",15.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/sebi-cracks-down-on-finfluencers-selling-tips-as-education/articleshow/117762723.cms
220,Stock Market Today: All You Need To Know Going Into Trade On Jan. 31,"Major earnings to look out for include Bandhan Bank, City Union Bank, IndusInd Bank, LIC Housing Finance, Marico, Nestle India and ONGC.",15.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/stock-market-today-all-you-need-to-know-going-into-trade-on-jan-31-3
221,Most strong listings fail to sustain gains,"Of the 21 IPOs since December 1, 19 shares returned between 9% and 160% on their debut. After the positive start, 17 are trading below their opening prices.",15.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/ipos/fpos/most-strong-listings-fail-to-sustain-gains/articleshow/117762650.cms
222,Bajaj Finserv's Q3 net profit rises 3%,"During the quarter, the company reported a net profit of ₹2,231 crore up from ₹2,158 in the corresponding quarter of the previous year. Total revenue from operations also rose by 10% YoY to ₹32,042 crore up from ₹29,038 crore.",15.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/earnings/bajaj-finservs-q3-net-profit-rises-3/articleshow/117762526.cms
223,Treasury gains take BoB Q3 profit up 6%,"Non-interest income increased 34% year-on-year to ₹3,769 crore largely due to a doubling of treasury income and a tax refund during the quarter. Treasury income doubled to ₹936 crore from ₹410 crore a year ago as the bank made trading gains in the last quarter. The bank also accounted for ₹369 crore of income tax refund.",15.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/earnings/treasury-gains-take-bob-q3-profit-up-6/articleshow/117762470.cms
224,Equinox India entity raises Rs 950 crore via NCD issue,"The 48-month NCDs, issued by Lucina Land Development (LLDL), offer an interest rate of 13.00% and are backed by corporate guarantees from Equinox India, Sion Developers, Citra Properties and RGE Constructions.",15.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/equinox-india-entity-raises-rs-950-crore-via-ncd-issue/articleshow/117762381.cms
225,"FAR G-Secs fare better in Jan, but yields in US, dollar cloud outlook","The inflows which had peaked at over ₹22,000 crore in August have tapered due to escalating US yields and a depreciating rupee making Indian government bonds less attractive to foreign portfolio investors, fixed income experts said.",15.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/bonds/far-g-secs-fare-better-in-jan-but-yields-in-us-dollar-cloud-outlook/articleshow/117762264.cms
226,"Shares worth Rs 80,000 crore to exit IPO lock-in",Bankers and brokers said a chunk of these shares could flood the market as various investors would look to book profits with the stock market precariously perched.,16 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/ipos/fpos/shares-worth-rs-80000-crore-to-exit-ipo-lock-in/articleshow/117761997.cms
227,BJD reiterates its demand for special category status for Odisha ahead of central budget,The regional party will also raise the issue of Mahanadi river water dispute and Polavaram Project in the upcoming session,16.5 hours ago,— The Hindu Business,https://www.thehindu.com/news/national/odisha/bjd-reiterates-its-demand-for-special-category-status-for-odisha-ahead-of-central-budget/article69160001.ece
228,IRDAI caps elders’ health cover spike,"Calling out the steep increase in health insurance premium rates for senior citizens, the insurance regulator bars insurers from hiking premium payments by over 10% a year and withdrawing existing policies for senior citizens without its nod",22 hours ago,— The Hindu Business,https://www.thehindu.com/business/irdai-caps-elders-health-cover-spike/article69160608.ece
229,"Tata Consumer Defies Urban Slowdown, Sees E-Commerce Powering Growth","The owner of Tata Salt registered a flat net profit at Rs 278.8 crore, impacted by the inflation in the tea business and high interest costs.",22 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/business/tata-consumer-products-defies-urban-slowdown-sees-e-commerce-powering-growth
230,RBI files application for insolvency proceedings against Aviom India Housing Finance,"On January 27, the RBI superseded the board of Aviom India Housing Finance owing to governance concerns and defaults in meeting various payment obligations",22 hours ago,— The Hindu Business,https://www.thehindu.com/business/rbi-files-application-for-insolvency-proceedings-against-aviom-india-housing-finance/article69161076.ece
231,Irdai caps health insurance premium hikes for seniors,The Insurance Regulatory and Development Authority of India (Irdai) has mandated that insurers cannot increase health insurance premiums for senior citizens by more than 10% annually. This directive aims to address the steep premium hikes observed in certain health insurance products for those aged 60 and above.,22.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/irdai-caps-health-insurance-premium-hikes-for-senior-citizens-at-10-pc-per-annum/articleshow/117762104.cms
232,Airtel Africa Confirms IPO Plans For Airtel Money On Track,Airtel Africa's net profit increased more than 10 times on a year-on-year basis in the third quarter of this financial year.,23 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/airtel-africa-confirms-ipo-plans-for-airtel-money-on-track
233,"RBI purchases bonds via OMO, while managing market sentiments","The Reserve Bank of India initiated a Rs 20,000 crore liquidity infusion through an OMO purchase, accepting liquid and illiquid bonds to manage market sentiments. The operation involved purchasing papers at both premium and discount rates. A second liquidity measure and another OMO auction are scheduled. System liquidity has been in deficit since mid-December 2024.",23 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/rbi-purchases-bonds-via-omo-while-managing-market-sentiments/articleshow/117749107.cms
234,"Biocon buys back an investor stake in biologics unit, posts Rs 25 crore net profit in Q3FY25","Biocon's board has approved the acquisition of 1.5% equity in Biocon Biologics for Rs 550 crore, increasing its stake to 90.2%. The deal is expected to complete by February 1, 2025. Despite a significant drop in net profit, revenue and EBITDA have grown. Increased biosimilar market share and strategic approvals are expected to drive future growth.",23.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/earnings/biocon-buys-back-an-investor-stake-in-biologics-unit-posts-rs-25-crore-net-profit-in-q3fy25/articleshow/117747925.cms
235,Gold Hits Record High As Dollar Pushes Lower After US Data,"Spot gold rose 1% to $2,788.86 an ounce as of 10:19 a.m. in New York.",1 day ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/gold-hits-record-high-as-dollar-pushes-lower-after-us-data
